source,source dataset,source variables,source variables other datasets.dataset,source variables other datasets.name,target,target dataset,target variable,match,status,description,syntax,comments,repeat_num,repeats
GenR,core,,,,LifeCycle,outcome,dbp_,na,,,,,18,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215"
GenR,core,"AGE24M_M,DIAS1_24months,ageChildYF5,Dias1_5child,agechild9_visit1,DBP1_child9",,,LifeCycle,outcome,dbp_,complete,,variable was created by renaming the source variable since it was already in the correct units and by creating index variable by rounding ages in months down. Index variable denotes the age interval/variable to which the measurement belongs to.,"do repeat x=0 to 215/dbp=dbp_0 to dbp_215.
IF AGE24M_M_i=x AND not missing(DIAS1_24months) dbp=DIAS1_24months.
IF agechild5m_i=x AND not missing(Dias1_5child) dbp=Dias1_5child.
IF agechild9m_i=x AND not missing (DBP1_child9) dbp=DBP1_child9.
end repeat print.
Execute.

*Change levels to scale.
variable level dbp_0 to dbp_215 (SCALE).",,22,"22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143"
NFBC1966,core,,,,LifeCycle,core,agebirth_m_y,complete,final,,,,,
NFBC1966,core,,,,LifeCycle,core,plurality,complete,final,,,,,
NFBC1966,core,,,,LifeCycle,core,weight_who_ga,complete,final,,Syntax  was long (available when asked),,,
NFBC1966,core,,,,LifeCycle,core,apgar,partial,final,Apgar-scores at the age of 15 minutes,,,,
NFBC1966,core,,,,LifeCycle,core,death_child_age,complete,final,,,,,
NFBC1966,core,,,,LifeCycle,core,cohort_id,complete,final,New variable conducted based on  the cohort  (NFBC1966),,,,
NFBC1966,core,,,,LifeCycle,core,death_p_age,complete,final,Age of the child  at the time of the father's death (continuous in days)  (value 99999 means that child had died before father),,,,
NFBC1966,core,,,,LifeCycle,core,mental_exp,complete,final,Register based diagnosed and child age when diagnos was received,Syntax was extremely long (available when asked),,3,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17"
NFBC1966,core,,,,LifeCycle,core,mother_id,complete,final,,,,,
NFBC1966,core,,,,LifeCycle,core,pets_,partial,final,"When you were younger than 7 years old did you have in your home? A cat, A dog , Other pets with furry or feathers 1) no 2) yes . All the variables were recoded 1) yes 0) no","COMPUTE pets_7=SUM(C6631C_ZT_017_1, C6631C_ZT_017_2, C6631C_ZT_017_3).
EXECUTE. RECODE pets_7  (0=0) (1 thru 100=1) INTO pets_7. EXECUTE.",,7,7
NFBC1966,core,,,,LifeCycle,core,cer_palsy,complete,final,,"RECODE dg1 (351 thru 34309=1) INTO cer_palsy.
EXECUTE.",,,
NFBC1966,core,,,,LifeCycle,core,coh_country,complete,final,New variable conducted based on  the country of the cohort (ISO 3166  numeric country codes),,,,
NFBC1966,core,,,,LifeCycle,core,death_child,complete,final,Age of child in days when died,IF  (kuolinika_pv < 18622) death_child=1. EXECUTE. RECODE death_child (SYSMIS=0). EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,agebirth_p_y,complete,final,,,,,
NFBC1966,core,,,,LifeCycle,core,breastfed_any,partial,final,"Brestfeed duration with categories: 1) Never, 2) 1 months, 3) months, 4) 6 months",RECODE y1_7 (4=0) (3=1) (2=3) (1=6) INTO breastfed_any.EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,neo_unit,partial,final,1) yes 2) no,were coded to 0) no 1) yes,,,
NFBC1966,core,,,,LifeCycle,core,outcome,partial,final,"Child live/dead born1) 1 alive 2) 1 stillbirth 3) 2 alive 4) 2 stillbirths 5) 1 alive, 1 stillbirth",Original codings were used,,,
