tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Dataset mappings,,,,,,,,,,,,Mappings from collected or source datasets to harmonised or target datasets,"DataCatalogueFlat,Mappings",
Dataset mappings,,source,ref,1,TRUE,,Resources,,,,,Id of the resource being mapped from,"DataCatalogueFlat,Mappings",
Dataset mappings,,source dataset,ref,1,TRUE,,Datasets,source,,,,Name of the dataset being mapped from,"DataCatalogueFlat,Mappings",
Dataset mappings,,target,ref,1,TRUE,,Resources,,,,,Network being mapped to,DataCatalogueFlat,
Dataset mappings,,target dataset,ref,1,TRUE,,Datasets,target,,,,"Name of the dataset being mapped to, or harmonised with",DataCatalogueFlat,
Dataset mappings,,target,ref,1,TRUE,catalogue,Resources,,,,,"Name of the variable being mapped to, or harmonised with",Mappings,
Dataset mappings,,target dataset,ref,1,TRUE,catalogue,Datasets,target,,,,"Name of the dataset being mapped to, or harmonised with",Mappings,
Dataset mappings,,order,int,,,,,,,,,Order in which table ETLs should be executed for this source-target combination,"DataCatalogueFlat,Mappings",
Dataset mappings,,description,text,,,,,,,,,Human readible description of the mapping,"DataCatalogueFlat,Mappings",
Dataset mappings,,syntax,text,,,,,,,,,"Formal definition of the mapping, ideally in executable code","DataCatalogueFlat,Mappings",
