tableName,tableExtends,columnName,columnType,label,computed,key,required,refSchema,refTable,refLink,refBack,refLabel,validation,defaultValue,visible,semantics,description,profiles
Sample identifiers,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25364,Auto-generated sample identifiers,Patient registry id bank
Sample identifiers,,id,auto_id,,"ERD-S-${mg_autoid(format=numbers,length=7)}",1,true,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25364,"An auto generated ID that follows this format: ""ERD-S-*""",Patient registry id bank
Sample identifiers,,status,ontology,,,,,CatalogueOntologies,Identifier statuses,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25688,"The current status of the identifier. E.g., assigned, removed, etc.",Patient registry id bank
Sample identifiers,,reason status is deprecated,text,,,,,,,,,,,,"status && status === ""Deprecated""",http://purl.obolibrary.org/obo/NCIT_C25638,"If the identifier is marked as deprecated, please indicate why",Patient registry id bank
Sample identifiers,,reason status is other,text,,,,,,,,,,,,"status && status === ""Other""",http://purl.obolibrary.org/obo/NCIT_C25638,"If the identifier is marked as other, please indicate why",Patient registry id bank
Experiment identifiers,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25364,Auto-generated experiment identifiers,Patient registry id bank
Experiment identifiers,,id,auto_id,,"ERD-E-${mg_autoid(format=numbers,length=7)}",1,true,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25364,"An auto generated ID that follows this format: ""ERD-E-*""",Patient registry id bank
Experiment identifiers,,status,ontology,,,,,CatalogueOntologies,Identifier statuses,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25688,"The current status of the identifier. E.g., assigned, removed, etc.",Patient registry id bank
Experiment identifiers,,reason status is deprecated,text,,,,,,,,,,,,"status && status === ""Deprecated""",http://purl.obolibrary.org/obo/NCIT_C25638,"If the identifier is marked as deprecated, please indicate why",Patient registry id bank
Experiment identifiers,,reason status is other,text,,,,,,,,,,,,"status && status === ""Other""",http://purl.obolibrary.org/obo/NCIT_C25638,"If the identifier is marked as other, please indicate why",Patient registry id bank
