tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Observations,Processes,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25398,Findings and circumstances relating to the examination and treatment of a individual,"Patient registry, FAIR Genomes, JRC-CDE"
Observations,,date of observation,date,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C119798,The date on which an observation took place,"Patient registry, FAIR Genomes"
Observations,,age at observation,period,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C192236,"The age of the individual at the time of observation (e.g., ""P55Y8M12D"")",Patient registry
Observations,,type of visit,ontology,,,CatalogueOntologies,Visit type,,,,http://purl.obolibrary.org/obo/NCIT_C103165,"The kind of visit undertaken by the individual within a study such as inpatient, outpatient, telephone, baseline, follow up, etc.","Patient registry, FAIR Genomes"
Observations,,location of observation,ref,,,CatalogueOntologies,Organisations,,,,http://purl.obolibrary.org/obo/NCIT_C119804,The site in or on the body at which the observation is made.,Patient registry
Observations,,included in datasets,ref_array,,,,Datasets,,,,http://purl.obolibrary.org/obo/HSO_0000370,"A reference to one or more datasets that organises records for in a meaningful way (e.g., data releases, subpopulations, cohorts, etc.)",Patient registry
Clinical observations,Observations,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C87853,This table extends observations with clinical details compatible with phenopacket,"Patient registry, FAIR Genomes, JRC-CDE"
Clinical observations,,phenotypes,refback,,,,Phenotype observations,,part of clinical observation,,http://purl.obolibrary.org/obo/NCIT_C16977,"The assemblage of traits or outward appearance of an individual. It is the product of interactions between genes and between genes and the environment. In medical context,  these are often the symptoms caused by a disease.","Patient registry, FAIR Genomes"
Clinical observations,,diseases,refback,,,,Disease history,,part of clinical observation,,http://purl.obolibrary.org/obo/NCIT_C15607,"Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.","Patient registry, FAIR Genomes, JRC-CDE"
Clinical observations,,measurements,refback,,,,Measurements,,part of clinical observation,,http://purl.obolibrary.org/obo/NCIT_C25209,Annotation used to indicate the size or magnitude of something that was determined by comparison to a standard,"Patient registry, FAIR Genomes"
Clinical observations,,molecular diagnosis gene,ontology_array,,,CatalogueOntologies,Genes,,,,http://purl.obolibrary.org/obo/NCIT_C36391,Gene affected by pathogenic variation that is causal for disease of the individual,"Patient registry, FAIR Genomes"
Clinical observations,,molecular diagnosis other,text,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C20826,Causal variant in HGVS notation with optional classification or free text explaining any other molecular mechanisms involved.,"Patient registry, FAIR Genomes"
Clinical observations,,is solved,bool,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25587,An indication that diagnosis is given and the case is no longer considered unsolved.,Patient registry
Clinical observations,,date solved,date,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C119798,"The date on which a case was considered solved (i.e., when a diagnosis was made)",Patient registry
Clinical observations,,medication,ontology_array,,,CatalogueOntologies,Medication,,,,http://purl.obolibrary.org/obo/NCIT_C459,"A drug product that contains one or more active and/or inactive ingredients used by the individual intended to treat, prevent or alleviate the symptoms of disease. Any hormone therapies, gender-related, or otherwise should also be recorded here.","Patient registry, FAIR Genomes"
Clinical observations,,drug regimen,text,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C142516,"The specific way a therapeutic drug is to be taken, including formulation route of administration, dose, dosing interval, and treatment duration.","Patient registry, FAIR Genomes"
Clinical observations,,medical history,ontology_array,,,CatalogueOntologies,Medical history,,,,http://purl.obolibrary.org/obo/NCIT_C18772,"A record of a individual's background regarding health, occurrence of disease events and surgical procedures","Patient registry, FAIR Genomes"
Clinical observations,,date of first contact,date,,,,,,,,http://purl.bioontology.org/ontology/LNC/MTHU048806,The date on which contact with the individual was initiated,"Patient registry, FAIR Genomes, JRC-CDE"
Clinical observations,,date of last contact,date,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C156916,The date on which contact with the individual was last made,Patient registry
