tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
MetabolomicMaterialProcessing,,,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0000073,"A metabolomics material processing is a protocol application including material enrollments and biomaterial transformations.",FAIR Genomes metabolomics add-on
MetabolomicMaterialProcessing,,Identifier,string,1,TRUE,,,,,,http://purl.obolibrary.org/obo/NCIT_C132299,"A unique proper name or character sequence that identifies this particular metabolomics material processing.",FAIR Genomes metabolomics add-on
MetabolomicMaterialProcessing,,BelongsToBiosamples,ref,,,,Biosamples,,,,http://purl.obolibrary.org/obo/NCIT_C93400,"Reference to the source material from which this sample was prepared.",FAIR Genomes metabolomics add-on
MetabolomicMaterialProcessing,,ProcessingType,ontology,,,,MetabolomicProcessingType,,,,http://purl.obolibrary.org/obo/OBI_0000094,"A planned process which results in physical changes in a specified input material.",FAIR Genomes metabolomics add-on
MetabolomicMaterialProcessing,,SampleExtraction,string,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0001577,"The transfer of a solute from a liquid phase to another immiscible or partially-miscible liquid phase in contact with it.",FAIR Genomes metabolomics add-on
MetabolomicMaterialProcessing,,FilterUsed,string,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0001640,"The filter used in separating of suspended solids from a liquid or gas, usually by forcing a carrier gas or liquid through a porous medium.",FAIR Genomes metabolomics add-on
MetabolomicMaterialProcessing,,PassingRate,int,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0002751,"The volume of carrier gas passing through a chromatography column in unit time.",FAIR Genomes metabolomics add-on
MetabolomicMaterialProcessing,,SPECartridge,string,,,,,,,,http://purl.obolibrary.org/obo/OMIT_0025161,"A sample preparation technique using a solid adsorbent contained most commonly in a cartridge device, or on a disk to adsorb select species from solution.",FAIR Genomes metabolomics add-on
MetabolomicMaterialProcessing,,WashingProtocol,text,,,,,,,,http://purl.obolibrary.org/obo/OBI_0302888,"Washing is a process by which a material entity acting as contaminant (e.g. excess staining reagent) is removed by application of one or more cycles of solution in flow.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C60819,"A qualitative or quantitative analysis performed to determine the amount of a particular constituent in a sample or the biological or pharmacological properties of a drug.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,Identifier,string,1,TRUE,,,,,,http://purl.obolibrary.org/obo/NCIT_C171266,"A unique proper name or character sequence that identifies this particular metabolomics assay.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,BelongsToMetabolomicMaterialProcessing,ref,,,,MetabolomicMaterialProcessing,,,,http://semanticscience.org/resource/SIO_000068,"This metabolomic assay is part of a metabolomic material processing.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,AssayType,ontology,,,,MetabolomicAssayType,,,,http://purl.obolibrary.org/obo/CHMO_0000470,"Spectrometry where the sample is converted into gaseous ions which are characterised by their mass-to-charge ratio and relative abundance.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,Inlet,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C50251,"A valve that controls the flow of fluids in through the wall of a chamber.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,MassSpectrometer,string,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0000982,"A piece of apparatus that consists of at least an ion source, a mass-to-charge analyser, a detector and a vacuum system and is used to measure mass spectra.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,IonizationSource,string,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0000960,"A piece of apparatus that takes an analyte and generates ions which are passed to the rest of a mass spectrometer for analysis.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,ChromatographyColumn,string,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0000997,"A piece of apparatus that has the form of a tube with a diameter between 5 to 50 mm and hosts the stationary bed in chromatography.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,PhaseSeparationProtocol,text,,,,,,,,http://purl.obolibrary.org/obo/CHMO_0002214,"Any method for the synthesis of polymer membranes that involves the polymer transforming from the liquid phase of the cast solution to the solid phase.",FAIR Genomes metabolomics add-on
MetabolomicMassSpecAssays,,MassSpecSourceConditions,string,,,,,,,,http://purl.obolibrary.org/obo/ZECO_0000104,"Condition in which variables of the experiment are manipulated to determine the variables effect by comparing to a control condition.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,,,,,,,,,,http://edamontology.org/data_0949,"Basic information, annotation or documentation concerning a metabolomics analysis workflow (but not the workflow itself).",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,Identifier,string,1,TRUE,,,,,,http://edamontology.org/data_1083,"A unique proper name or character sequence that identifies this particular metabolomics assay.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,BelongsToMetabolomicMassSpecAssay,ref,,,,MetabolomicMassSpecAssays,,,,http://semanticscience.org/resource/SIO_000068,"This metabolomic analysis is part of a metabolomic assay.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,AnalysisType,ontology,,,,MetabolomicAnalysisType,,,,http://edamontology.org/operation_2945,"Apply analytical methods to existing data of a specific type.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,WorkflowDefinition,text,,,,,,,,http://semanticscience.org/resource/SIO_000127,"File content or location that encapsulates the analysis workflow, i.e. a sequence of operations to achieve one or more objectives.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,WorkflowEngine,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C48293,"The engine used to execute the workflow such as Papermill, Jupyter, Galaxy or Nextflow.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,WorkflowPublished,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C48471,"A printed or electronic work offered for distribution.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,ContainerizedBy,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C43186,"The analysis has been boxed by a container engine such as Singularity or Docker.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,SoftwareTools,string,,,,,,,,http://purl.obolibrary.org/obo/ERO_0000071,"A general term primarily used for digitally stored data such as computer programs and other kinds of information read and written by computers.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,Parameters,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C44175,"Any factor that defines a system and determines (or limits) its performance.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,DataformatsStored,ontology_array,,,,FileFormats,,,,http://purl.obolibrary.org/obo/NCIT_C142494,"Which data file formats (i.e. defined ways or layouts of representing and structuring data in a computer file, blob, string, message, or elsewhere) are stored and potentially available.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,StandardsUsed,string,,,,,,,,http://semanticscience.org/resource/SIO_000618,"Any socially-agreed upon specifications used such as Common Workflow Language, mzML, ISA-TAB, FAIR Genomes, etc.",FAIR Genomes metabolomics add-on
MetabolomicAnalyses,,StatisticalMethodsApplied,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C19044,"A method of analyzing or representing statistical data or a procedure for calculating a statistic, such as principal component analysis, affinity propagation clustering, T-test, etc.",FAIR Genomes metabolomics add-on
