tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Profiles,,,,,,,,,,,,Table that shows which profiles are in a schema,"DataCatalogueFlat,CohortsBasis,CohortsExtended,NetworksStaging,Patient registry,RWEStaging,UMCGCohortsStaging,EMA,DataDictionaries,Samplesets,Mappings,DataDictionariesColEvent,ResourceCounts",
Profiles,,DataCatalogueFlat,,,,,,,,,,This schema contains the DataCatalogueFlat profile,DataCatalogueFlat,
Profiles,,CohortsBasis,,,,,,,,,,This schema contains the CohortsBasis profile,CohortsBasis,
Profiles,,CohortsExtended,,,,,,,,,,This schema contains the CohortsExtended profile,CohortsExtended,
Profiles,,NetworksStaging,,,,,,,,,,This schema contains the NetworksStaging profile,NetworksStaging,
Profiles,,Patient registry,,,,,,,,,,This schema contains the Patient registry profile,Patient registry,
Profiles,,RWEStaging,,,,,,,,,,This schema contains the RWEStaging profile,RWEStaging,
Profiles,,UMCGCohortsStaging,,,,,,,,,,This schema contains the UMCGCohortsStaging profile,UMCGCohortsStaging,
Profiles,,EMA,,,,,,,,,,This schema contains the EMA profile,EMA,
Profiles,,DataDictionaries,,,,,,,,,,This schema contains the DataDictionaries profile,DataDictionaries,
Profiles,,Samplesets,,,,,,,,,,This schema contains the Samplesets profile,Samplesets,
Profiles,,Mappings,,,,,,,,,,This schema contains the Mappings profile,Mappings,
Profiles,,DataDictionariesColEvent,,,,,,,,,,This schema contains the DataDictionariesColEvent profile,DataDictionariesColEvent,
Profiles,,ResourceCounts,,,,,,,,,,This schema contains the ResourceCounts profile,ResourceCounts,
