tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Resource cohorts,,,,,,,,,,,dcat:Dataset,Subcohorts defined for this resource,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,resource,ref,1,true,,Resources,,,,dcterms:isPartOf,Resource this subcohort is part of,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,name,,1,true,,,,,,dcterms:title,"Subcohort name, e.g. 'mothers in first trimester','newborns'","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,description,text,,,,,,,,dcterms:description,Subcohort description,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,number of participants,int,,,,,,,,,Number of participants in this subcohort,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,counts,refback,,,,Resource cohort counts,,population,,,"Total number of unique individuals per age(group), gender and year","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,inclusion start,int,,,,,,,,dcat:startDate,Year of first included participant,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,inclusion end,int,,,,,,,,dcat:endDate,Year of last included participant. Leave empty if data collection is ongoing,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups within this subcohort,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,main medical condition,ontology_array,,,CatalogueOntologies,Diseases,,,,dcat:theme,"Disease groups within this subcohort, based on ICD-10 and ORPHA code classifications","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,comorbidity,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Comorbidity within this subcohort, based on ICD-10 classification","DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,dcterms:coverage,Countries where data from this subcohort largely originate from,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,dcterms:coverage,Geographical regions where data from this subcohort largely originate from,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
Resource cohorts,,inclusion criteria,text,,,,,,,,,Inclusion criteria applied to this subcohort,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging",
