order,name,code,parent,ontologyTermURI,definition
1,Administrative information,Administrative_information,,,
2,Identifiers,Identifiers,Administrative information,,
3,Date and time-related information,Date_time_related_info,Administrative information,,
4,Questionnaire and interview-related information,Questionnaire_interview_related_info,Administrative information,,
5,Physical and cognitive measure and biosample-related information,Physical_measure_biosamp_related_info,Administrative information,,
6,Data and sample collection center-related information,Data_sample_center,Administrative information,,
7,Other administrative information,Other_admin_info,Administrative information,,
8,Socio-demographic and economic characteristics,Sociodemographic_economic_characteristics,,,
9,Socio-demographic,Sociodemographic,Socio-demographic and economic characteristics,,"Basic demographic characteristics such as age, sex, and ethnicity"
10,Socio-economic capital,Socioeconomic_capital,Socio-demographic and economic characteristics,,"Indicators of education, income, occupation, and household affluence"
11,Age/birthdate,Age,Socio-demographic and economic characteristics,,
12,Sex/gender,Sex,Socio-demographic and economic characteristics,,
13,Twin,Twin,Socio-demographic and economic characteristics,,
14,Marital/partner status,Marital_status,Socio-demographic and economic characteristics,,
15,Family and household structure,Family_hh_struct,Socio-demographic and economic characteristics,,
16,Education,Education,Socio-demographic and economic characteristics,,
17,Residence,Residence,Socio-demographic and economic characteristics,,
18,Birthplace,Birth_place,Socio-demographic and economic characteristics,,
19,Citizenship and immigrant status,Citizenship,Socio-demographic and economic characteristics,,
20,"Ethnicity, race and religion",Ethnic_race_religion,Socio-demographic and economic characteristics,,
21,Language,Language,Socio-demographic and economic characteristics,,
22,Labour force and retirement,Labour_retirement,Socio-demographic and economic characteristics,,
23,"Income, possessions, and benefits",Income,Socio-demographic and economic characteristics,,
24,Other socio-demographic and economic characteristics,Other_sociodemogr_chars,Socio-demographic and economic characteristics,,
25,Job history,Job_history,Labour force and retirement,,Information on participants’ occupations and workplaces over time
26,Parental occupation,Parental_occupation,Labour force and retirement,,Maternal and paternal employment during pregnancy or early childhood
27,Lifestyle and behaviours,Lifestyle_behaviours,,,
28,"Toxic Habits - Tobacco, Alcohol, Drugs",,Lifestyle and behaviours,,"Information on tobacco, alcohol, and other substance use from questionnaires"
29,Tobacco,Tobacco,Lifestyle and behaviours,,
30,Alcohol,Alcohol,Lifestyle and behaviours,,
31,Drugs,Drugs,Lifestyle and behaviours,,
32,Nutrition,Nutrition,Lifestyle and behaviours,,"Dietary intakes measured by FFQ, 24h recall or any other collection tool"
33,Breastfeeding,Breastfeeding,Lifestyle and behaviours,,
34,Physical activity,Phys_act,Lifestyle and behaviours,,
35,Transportation,Transportation,Lifestyle and behaviours,,
36,Personal hygiene,Pers_hygiene,Lifestyle and behaviours,,
37,Sleep,Sleep,Lifestyle and behaviours,,
38,Sexual behaviours and orientation,Sex_behav,Lifestyle and behaviours,,
39,Leisure activities,Leisure_act,Lifestyle and behaviours,,
40,Technological devices,Tech_devices,Lifestyle and behaviours,,
41,Misbehaviour and criminality,Misbehav_crim,Lifestyle and behaviours,,
42,Other and unspecified lifestyle information,Other_lifestyle,Lifestyle and behaviours,,
43,"Birth, pregnancy and reproductive health history",Reproductive history,,,
44,"Puberty, menstruation, menopause and andropause",Menstr_menop_andropause,"Birth, pregnancy and reproductive health history",,
45,Contraception,Contraception,"Birth, pregnancy and reproductive health history",,
46,"Pregnancy, delivery and birth",Pregnancy_delivery,"Birth, pregnancy and reproductive health history",,"Information on previous miscarriages, infertility, or pregnancy complications."
47,Birth outcomes,,"Birth, pregnancy and reproductive health history",,
48,Fertility and sexual health,Reprod_sexual_problems,"Birth, pregnancy and reproductive health history",,
49,Other reproductive health-related information,Other_reproductive,"Birth, pregnancy and reproductive health history",,
50,"Perception of health, quality of life, development and functional limitations",Health_status_functional_limitations,,,
51,Perception of health,Perc_health,"Perception of health, quality of life, development and functional limitations",,
52,Quality of life,Qual_life,"Perception of health, quality of life, development and functional limitations",,
53,Life course development,Life_dev,"Perception of health, quality of life, development and functional limitations",,
54,Functional limitations,Act_daily_living,"Perception of health, quality of life, development and functional limitations",,
55,Use of assistive devices,Use_devices,"Perception of health, quality of life, development and functional limitations",,
56,"Other perception of health, quality of life and functional limitation-related information",Other,"Perception of health, quality of life, development and functional limitations",,
57,Family Health History,Family_health_history,,,
58,Parental diseases,Parental_diseases,Family Health History,,"Parental history of chronic conditions such as obesity, diabetes, or asthma."
59,Symptoms and signs,Symptoms_signs,,,
60,Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Circulatory_respiratory_sympt,Symptoms and signs,,
61,Symptoms and signs involving the digestive system and abdomen (R10-R19),Digestive_sympt,Symptoms and signs,,
62,Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Skin_subcut_sympt,Symptoms and signs,,
63,Symptoms and signs involving nervous and musculoskeletal systems (R25-R29),Nervous_musculoskeletal_sympt,Symptoms and signs,,
64,Symptoms and signs involving the urinary system (R30-R39),Urinary_sympt,Symptoms and signs,,
65,"Symptoms and signs involving cognition, perception, emotional state and behaviour (R40-R46)",Cognitive_perc_emotional_sympt,Symptoms and signs,,
66,Symptoms and signs involving speech and voice (R47-R49),Speech_voice_sympt,Symptoms and signs,,
67,General symptoms and signs (R50-R69),General_sympt,Symptoms and signs,,
68,Symptoms related to multiple categories,Other_sympt,Symptoms and signs,,
69,Medication and supplements,Medication_supplements,,,"Medical drug use from questionnaire, record linkage or other"
70,Medication and supplement intake,Medication_suppl,Medication and supplements,,
71,Chemotherapy interventions,Chemotherapy_inter,Medication and supplements,,
72,Posology and protocol of administration,Posology_protocol,Medication and supplements,,
73,Other and unspecified pharmacological interventions,Other_pharmacological_inter,Medication and supplements,,
74,Non-pharmacological interventions,Non_pharmacological_interventions,,,
75,Surgical interventions,Surgical_inter,Non-pharmacological interventions,,
76,Radiological interventions,Radiological_inter,Non-pharmacological interventions,,
77,Radiotherapy interventions,Radiotherapy_inter,Non-pharmacological interventions,,
78,Physical therapy interventions,Physical_inter,Non-pharmacological interventions,,
79,"Cognitive, psychological and sensory interventions",Cognitive_psycho_sensory_inter,Non-pharmacological interventions,,
80,Educational and health promotion interventions,Educational_inter,Non-pharmacological interventions,,
81,Laboratory diagnosis interventions,Biosample_analyses,Non-pharmacological interventions,,
82,Other and unspecified non-pharmacological interventions,Other_non_pharmacological_inter,Non-pharmacological interventions,,
83,Health and community care services utilization,Health_community_care_utilization,,,
84,Visits to health professionals,Visit_health_prof,Health and community care services utilization,,
85,Hospitalizations,Hospitalizations,Health and community care services utilization,,
86,Community and social care,Community_care,Health and community care services utilization,,
87,Other health and community care,Other_health_and_community_care,Health and community care services utilization,,
88,Death,End_of_life,,,
89,Vital status,Life_status,Death,,
90,Cause of death,Cause_death,Death,,
91,Other end of life or death-related information,Other_death,Death,,
92,Physical measures and assessments,Physical_measures,,,
93,Physical characteristics,Physical_characteristics,Physical measures and assessments,,
94,Anthropometry,Anthropo_measures,Physical measures and assessments,,
95,Circulation and respiration,Circulation_respiration,Physical measures and assessments,,
96,"Muscles, skeleton and mobility",Muscles_skeleton_mobility,Physical measures and assessments,,
97,Sensory and pain,Sensory_pain,Physical measures and assessments,,
98,Brain and nerves,Brain_nerves,Physical measures and assessments,,
