name,definition,codesystem,code,ontologyTermURI
ADLER32,ADLER32,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_adler32
BLAKE2b-256,BLAKE2b-256,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_blake2b256
BLAKE2b-384,BLAKE2b-384,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_blake2b384
BLAKE2b-512,BLAKE2b-512,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_blake2b512
BLAKE3,BLAKE3,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_blake3
MD2,MD2,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_md2
MD4,MD4,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_md4
MD5,MD5,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_md5
MD6,MD6,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_md6
SHA-1,SHA-1,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_sha1
SHA224,SHA224,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_sha224
SHA256,SHA256,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_sha256
SHA384,SHA384,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_sha384
SHA512,SHA512,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_sha512
SHA3-256,SHA3-256,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_sha3_256
SHA3-384,SHA3-384,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_sha3_384
SHA3-512,SHA3-512,spdx,,http://spdx.org/rdf/terms#checksumAlgorithm_sha3_512
