name,definition,codesystem,code,ontologyTermURI
"exploring gender identity","A gender identity in question or in the process of being questioned.","GSSO","001594","http://purl.obolibrary.org/obo/GSSO_001594"
"female gender identity","Having an identity considered female.","GSSO","000089","http://purl.obolibrary.org/obo/GSSO_000089"
"male gender identity","Having an identity considered male.","GSSO","000090","http://purl.obolibrary.org/obo/GSSO_000090"
"no gender identity","An indication that no gender identity has developed. Use for neonates whose assigned sex at birth is 'undifferentiated'. For a person who identifies as not having a gender, use 'non-gendered identity'.","GSSO","009485","http://purl.obolibrary.org/obo/GSSO_009485"
"nonbinary gender identity","Having an identity considered nonbinary or as falling under the nonbinary umbrella.","GSSO","002328","http://purl.obolibrary.org/obo/GSSO_002328"
"exclusive gender identity","A gender which has a certain prerequisite which may be unrelated to gender, such as one belonging to a particular culture or indigenous group.","GSSO","010346","http://purl.obolibrary.org/obo/GSSO_010346"
"fluctuating gender identity","Having a gender identity which fluctuates or switches (such as being male sometimes and female other times).","GSSO","002329","http://purl.obolibrary.org/obo/GSSO_002329"
"indescribable gender identity","Any of various gender identities defined by their inability to be described, communicated, or otherwise understood.","GSSO","011422","http://purl.obolibrary.org/obo/GSSO_011422"
"multiple gender identity","Having a multiple gender identities simultaneously.","GSSO","002330","http://purl.obolibrary.org/obo/GSSO_002330"
"non-gendered identity","Having a gender identity that is genderless or having no gender identity whatsoever.","GSSO","002331","http://purl.obolibrary.org/obo/GSSO_002331"
"overlapping gender identity","Having a gender identity which overlaps somewhat with other gender identities but not in their entirety.","GSSO","002332","http://purl.obolibrary.org/obo/GSSO_002332"
"partial gender identity","Having a gender identity which includes part of another gender identity, but not all of it (for example, identifying somewhat with female, but not entirely).","GSSO","002333","http://purl.obolibrary.org/obo/GSSO_002333"
"other gender identity","A datum representing a person's gender identity which is not listed.","GSSO","009484","http://purl.obolibrary.org/obo/GSSO_009484"
"unknown gender identity","A datum representing that a person's gender identity is not known for any of various reasons.","GSSO","009482","http://purl.obolibrary.org/obo/GSSO_009482"
"undisclosed gender identity","A datum representing when an individual does not wish to disclose their gender identity, thereby making their gender identity unknown.","GSSO","009483","http://purl.obolibrary.org/obo/GSSO_009483"
