code,name,ontologyTermURI
aar,Afar,http://lexvo.org/id/iso639-3/aar
abk,Abkhazian,http://lexvo.org/id/iso639-3/abk
afr,Afrikaans,http://lexvo.org/id/iso639-3/afr
aka,Akan,http://lexvo.org/id/iso639-3/aka
alb,Albanian,http://lexvo.org/id/iso639-3/alb
amh,Amharic,http://lexvo.org/id/iso639-3/amh
ara,Arabic,http://lexvo.org/id/iso639-3/ara
arg,Aragonese,http://lexvo.org/id/iso639-3/arg
arm,Armenian,http://lexvo.org/id/iso639-3/arm
asm,Assamese,http://lexvo.org/id/iso639-3/asm
ava,Avaric,http://lexvo.org/id/iso639-3/ava
ave,Avestan,http://lexvo.org/id/iso639-3/ave
aym,Aymara,http://lexvo.org/id/iso639-3/aym
aze,Azerbaijani,http://lexvo.org/id/iso639-3/aze
bak,Bashkir,http://lexvo.org/id/iso639-3/bak
bam,Bambara,http://lexvo.org/id/iso639-3/bam
baq,Basque,http://lexvo.org/id/iso639-3/baq
bel,Belarusian,http://lexvo.org/id/iso639-3/bel
ben,Bengali,http://lexvo.org/id/iso639-3/ben
bis,Bislama,http://lexvo.org/id/iso639-3/bis
bos,Bosnian,http://lexvo.org/id/iso639-3/bos
bre,Breton,http://lexvo.org/id/iso639-3/bre
bul,Bulgarian,http://lexvo.org/id/iso639-3/bul
bur,Burmese,http://lexvo.org/id/iso639-3/bur
cat,Catalan,http://lexvo.org/id/iso639-3/cat
cha,Chamorro,http://lexvo.org/id/iso639-3/cha
che,Chechen,http://lexvo.org/id/iso639-3/che
chi,Chinese,http://lexvo.org/id/iso639-3/chi
chu,Church Slavic,http://lexvo.org/id/iso639-3/chu
chv,Chuvash,http://lexvo.org/id/iso639-3/chv
cor,Cornish,http://lexvo.org/id/iso639-3/cor
cos,Corsican,http://lexvo.org/id/iso639-3/cos
cre,Cree,http://lexvo.org/id/iso639-3/cre
cze,Czech,http://lexvo.org/id/iso639-3/cze
dan,Danish,http://lexvo.org/id/iso639-3/dan
div,Dhivehi,http://lexvo.org/id/iso639-3/div
dut,Dutch,http://lexvo.org/id/iso639-3/dut
