resource,name,description,subcohorts,startYear,startMonth,endYear,endMonth,ageGroups,numberOfParticipants,areasOfInformation,dataCategories,sampleCategories,standardizedTools,standardizedToolsOther,supplementaryInformation
OncoLifeS,event1,,,,,,,,,,,,,,
ImaLife,event1,,,,,,,,,,Imaging data,,,,
testCohort5,birth,Collection at birth,Bob,2010,,2012,,Infant (0-23 months),48,Physical measures and assessments,Biological samples,"Plasma,RNA,Other",,,
testCohort5,child,,Ross,2010,,2020,,Infant (0-23 months),,"Vital status,Physical measures and assessments",Other,"Plasma,RNA,Other",,,
TRAILS,T4,Vierde meting (T4),TRAILS population cohort,2008,,2010,,Young adult (18-24 years),1889,,,,,,
TRAILS,T1CC,Eerste meting (T1),TRAILS Clinical cohort,2004,,2005,,Child (2-12 years),543,"Residence,""Preschool, school and work life"",Community and social care,Family and household structure,Education,""Ethnicity, race and religion"",Socio-demographic and economic characteristics,Sex/gender,Physical measures and assessments,Medication and supplements,Physical activity,Leisure activities,""Puberty, menstruation, menopause and andropause"",""Pregnancy, delivery and birth"",Medication and supplement intake,Health and community care services utilization,Cognitive functioning,Psychological distress and emotions,""Life events, life plans, beliefs and values"",Life events,Preschool life,School life,Social environment and relationships,Social network,Parenting and familial environment,Administrative information,Date and time-related information,Questionnaire and interview-related information,Physical and cognitive measure and biosample-related information,Data and sample collection center-related information,Identifiers","Survey data,Physiological/Biochemical measurements,Biological samples,Medical records,Other","Saliva,DNA,Other",,,
TRAILS,T4CC,Vierde meting (T4),TRAILS Clinical cohort,2011,,2012,,Young adult (18-24 years),,,,,,,
TRAILS,T1,Eerste meting (T1),TRAILS population cohort,2001,,2002,,Child (2-12 years),2230,"Medication and supplements,Socio-demographic and economic characteristics,Sex/gender,Physical measures and assessments,Family and household structure,Education,Residence,""Ethnicity, race and religion"",""Preschool, school and work life"",Community and social care,Physical activity,Leisure activities,""Puberty, menstruation, menopause and andropause"",""Pregnancy, delivery and birth"",Medication and supplement intake,Health and community care services utilization,Cognitive functioning,Psychological distress and emotions,""Life events, life plans, beliefs and values"",Life events,Preschool life,School life,Social environment and relationships,Social network,Parenting and familial environment,Administrative information,Identifiers,Date and time-related information,Questionnaire and interview-related information,Physical and cognitive measure and biosample-related information,Data and sample collection center-related information","Survey data,Physiological/Biochemical measurements,Biological samples,Medical records,Other","Saliva,DNA,Other",,,
TRAILS,T3CC,Derde meting (T3),TRAILS Clinical cohort,2008,,2010,,Adolescent (13-17 years),,"Genomics,Physical measures and assessments,Physical characteristics,Family and household structure,Residence,""Preschool, school and work life"",Community and social care,Lifestyle and behaviours,Tobacco,Alcohol,Drugs,Physical activity,Leisure activities,Misbehaviour and criminality,""Puberty, menstruation, menopause and andropause"",Contraception,""Perception of health, quality of life, development and functional limitations"",Perception of health,Life course development,Medication and supplement intake,Health and community care services utilization,Visits to health professionals,Hospitalizations,Immunology,Cognitive functioning,Psychological distress and emotions,""Life events, life plans, beliefs and values"",Life events,School life,Social environment and relationships,Social network,Parenting and familial environment,Administrative information,Identifiers,Date and time-related information,Questionnaire and interview-related information,Physical and cognitive measure and biosample-related information,Data and sample collection center-related information","Survey data,Physiological/Biochemical measurements,Biological samples,National registries",Saliva,,,
TRAILS,T2,Tweede meting (T2),TRAILS population cohort,2003,,2004,,Adolescent (13-17 years),2189,"Medication and supplements,Physical measures and assessments,Physical characteristics,""Preschool, school and work life"",Community and social care,Lifestyle and behaviours,Tobacco,Alcohol,Drugs,Physical activity,Leisure activities,Misbehaviour and criminality,""Puberty, menstruation, menopause and andropause"",Life course development,""Other perception of health, quality of life and functional limitation-related information"",Medication and supplement intake,Health and community care services utilization,Visits to health professionals,Psychological distress and emotions,""Life events, life plans, beliefs and values"",Life events,School life,Social environment and relationships,Social network,Social support,Parenting and familial environment,Administrative information,Identifiers,Date and time-related information,Questionnaire and interview-related information,Physical and cognitive measure and biosample-related information,Data and sample collection center-related information","Survey data,Physiological/Biochemical measurements",,,,
TRAILS,T3,Derde meting (T3),TRAILS population cohort,2005,,2007,,Adolescent (13-17 years),,"Genomics,Physical measures and assessments,Physical characteristics,Family and household structure,Residence,""Preschool, school and work life"",Community and social care,Lifestyle and behaviours,Tobacco,Alcohol,Drugs,Physical activity,Leisure activities,Misbehaviour and criminality,""Puberty, menstruation, menopause and andropause"",Contraception,""Perception of health, quality of life, development and functional limitations"",Perception of health,Life course development,Medication and supplement intake,Health and community care services utilization,Visits to health professionals,Hospitalizations,Immunology,Cognitive functioning,Psychological distress and emotions,""Life events, life plans, beliefs and values"",Life events,School life,Social environment and relationships,Social network,Parenting and familial environment,Administrative information,Identifiers,Date and time-related information,Questionnaire and interview-related information,Physical and cognitive measure and biosample-related information,Data and sample collection center-related information","Survey data,Physiological/Biochemical measurements,Biological samples,National registries","Saliva,DNA,Other",,,
TRAILS,T2CC,Tweede meting (T2),TRAILS Clinical cohort,2006,,2007,,Adolescent (13-17 years),,"Physical measures and assessments,Physical characteristics,Medication and supplements,""Preschool, school and work life"",Community and social care,Lifestyle and behaviours,Tobacco,Alcohol,Drugs,Physical activity,Leisure activities,Misbehaviour and criminality,""Puberty, menstruation, menopause and andropause"",Life course development,""Other perception of health, quality of life and functional limitation-related information"",Medication and supplement intake,Health and community care services utilization,Visits to health professionals,Psychological distress and emotions,""Life events, life plans, beliefs and values"",Life events,School life,Social network,Social environment and relationships,Social support,Parenting and familial environment,Administrative information,Identifiers,Date and time-related information,Questionnaire and interview-related information,Physical and cognitive measure and biosample-related information,Data and sample collection center-related information","Survey data,Physiological/Biochemical measurements","Blood,DNA,Other",,,
AHON,event1,continuous data collection,AHON,1998,January,,,"All ages,Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years),Adolescent (13-17 years),Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years)",275000,"Age/birthdate,Sex/gender,Residence,Symptoms related to multiple categories,Medication and supplements,Medication and supplement intake,Posology and protocol of administration,Other and unspecified pharmacological interventions,Surgical interventions,Radiological interventions,Laboratory diagnosis interventions,Visits to health professionals,Hospitalizations,Death,Vital status,Cause of death,Other end of life or death-related information","Medical records,National registries",,,,
AcuteLines,ED (baseline),,,2019,September,,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years)",,"Age/birthdate,Sex/gender,Marital/partner status,Education,Residence,Birthplace,""Ethnicity, race and religion"",Labour force and retirement,Tobacco,Alcohol,Drugs,Nutrition,Physical activity,Transportation,Personal hygiene,Sleep,Quality of life,Functional limitations,Use of assistive devices,Symptoms related to multiple categories,Medication and supplements,Medication and supplement intake,Posology and protocol of administration,Other and unspecified pharmacological interventions,Surgical interventions,Radiological interventions,Laboratory diagnosis interventions,Visits to health professionals,Hospitalizations,Community and social care,Death,Vital status,Cause of death,Other end of life or death-related information,Physical characteristics,Circulation and respiration,Sensory and pain,Digestion,Laboratory measures,Hematology,Biochemistry,Microbiology,Virology,Immunology,Toxicology,Histology,Other laboratory measures,Cognitive functioning,Psychological distress and emotions,Identifiers,Date and time-related information,Questionnaire and interview-related information,Data and sample collection center-related information","Biological samples,Survey data,Imaging data,Medical records,National registries,Physiological/Biochemical measurements,Omics,Genomics,Transcriptomics,Proteomics,Metabolomics","Blood,DNA,Faeces,Other,Plasma,RNA,Serum,Urine","Barthel index,Body Mass Index / Quetelet Index,Defecatielijst,EuroQol 5D,Fatigue Severity Scale,Geriatric Depression Scale,Glasgow Coma Scale (voor volwassenen en kinderen),Karnofsky-score,Katz ADL schaal,Malnutrition Universal Screening Tool,Outcome Priorization Tool,PHQ-9 Depression Test Questionnaire,Patient Health Questionnaire-15,Patient Satisfaction Questionnaire Short Form,Piper Fatigue Scale-12,Short Nutritional Assessment Questionnaire,Short QUestionnaire to ASsess Health-enhancing physical activity,Utrechtse Activiteiten Lijst",,
