order,name,label,parent,codesystem,code,ontologyTermURI,definition
1,armadillo,Armadillo,,,,,
2,opal,Opal,,,,,
101,armadillo-3,3,armadillo,,,,
102,armadillo-3.1.1,3.1.1,armadillo-3,,,,
103,armadillo-3.1.0,3.1.0,armadillo-3,,,,
104,armadillo-3.0.5,3.0.5,armadillo-3,,,,
105,armadillo-3.0.4,3.0.4,armadillo-3,,,,
106,armadillo-3.0.3,3.0.3,armadillo-3,,,,
107,armadillo-3.0.2,3.0.2,armadillo-3,,,,
108,armadillo-3.0.1,3.0.1,armadillo-3,,,,
109,armadillo-3.0.0,3.0.0,armadillo-3,,,,
110,armadillo-2,2,armadillo,,,,
111,armadillo-2.2.3,2.2.3,armadillo-2,,,,
112,armadillo-2.2.2,2.2.2,armadillo-2,,,,
113,armadillo-2.2.1,2.2.1,armadillo-2,,,,
114,armadillo-2.2.0,2.2.0,armadillo-2,,,,
115,armadillo-2.1.0,2.1.0,armadillo-2,,,,
116,armadillo-2.0.0,2.0.0,armadillo-2,,,,
117,armadillo-1,1,armadillo,,,,
118,armadillo-1.0.1,1.0.1,armadillo-1,,,,
119,armadillo-1.0.0,1.0.0,armadillo-1,,,,
120,armadillo-0,0,armadillo,,,,
121,armadillo-0.1.0,0.1.0,armadillo-0,,,,
122,armadillo-0.0.17,0.0.17,armadillo-0,,,,
123,armadillo-0.0.16,0.0.16,armadillo-0,,,,
124,armadillo-0.0.15,0.0.15,armadillo-0,,,,
125,armadillo-0.0.14,0.0.14,armadillo-0,,,,
126,armadillo-0.0.13,0.0.13,armadillo-0,,,,
127,armadillo-0.0.12,0.0.12,armadillo-0,,,,
128,armadillo-0.0.11,0.0.11,armadillo-0,,,,
129,armadillo-0.0.10,0.0.10,armadillo-0,,,,
130,armadillo-0.0.9,0.0.9,armadillo-0,,,,
131,armadillo-0.0.8,0.0.8,armadillo-0,,,,
132,armadillo-0.0.7,0.0.7,armadillo-0,,,,
133,armadillo-0.0.6,0.0.6,armadillo-0,,,,
134,armadillo-0.0.5,0.0.5,armadillo-0,,,,
135,armadillo-0.0.4,0.0.4,armadillo-0,,,,
239,opal-4.1.1,4.1.1,opal-4,,,,
136,armadillo-0.0.3,0.0.3,armadillo-0,,,,
137,armadillo-0.0.2,0.0.2,armadillo-0,,,,
138,armadillo-0.0.1,0.0.1,armadillo-0,,,,
201,opal-4,4,opal,,,,
202,opal-4.5.7,4.5.7,opal-4,,,,
203,opal-4.5.6,4.5.6,opal-4,,,,
204,opal-4.5.5,4.5.5,opal-4,,,,
205,opal-4.5.4,4.5.4,opal-4,,,,
206,opal-4.5.3,4.5.3,opal-4,,,,
207,opal-4.5.2,4.5.2,opal-4,,,,
208,opal-4.5.1,4.5.1,opal-4,,,,
209,opal-4.5.0,4.5.0,opal-4,,,,
210,opal-4.4.12,4.4.12,opal-4,,,,
211,opal-4.4.11,4.4.11,opal-4,,,,
212,opal-4.4.10,4.4.10,opal-4,,,,
213,opal-4.4.9,4.4.9,opal-4,,,,
214,opal-4.4.8,4.4.8,opal-4,,,,
215,opal-4.4.7,4.4.7,opal-4,,,,
216,opal-4.4.6,4.4.6,opal-4,,,,
217,opal-4.4.5,4.4.5,opal-4,,,,
218,opal-4.4.4,4.4.4,opal-4,,,,
219,opal-4.4.3,4.4.3,opal-4,,,,
220,opal-4.4.2,4.4.2,opal-4,,,,
221,opal-4.4.1,4.4.1,opal-4,,,,
222,opal-4.4.0,4.4.0,opal-4,,,,
223,opal-4.3.3,4.3.3,opal-4,,,,
224,opal-4.3.2,4.3.2,opal-4,,,,
225,opal-4.3.1,4.3.1,opal-4,,,,
226,opal-4.3.0,4.3.0,opal-4,,,,
227,opal-4.2.8,4.2.8,opal-4,,,,
228,opal-4.2.7,4.2.7,opal-4,,,,
229,opal-4.2.6,4.2.6,opal-4,,,,
230,opal-4.2.5,4.2.5,opal-4,,,,
231,opal-4.2.4,4.2.4,opal-4,,,,
232,opal-4.2.3,4.2.3,opal-4,,,,
233,opal-4.2.2,4.2.2,opal-4,,,,
234,opal-4.2.1,4.2.1,opal-4,,,,
235,opal-4.2.0,4.2.0,opal-4,,,,
236,opal-4.1.4,4.1.4,opal-4,,,,
237,opal-4.1.3,4.1.3,opal-4,,,,
238,opal-4.1.2,4.1.2,opal-4,,,,
240,opal-4.1.0,4.1.0,opal-4,,,,
241,opal-4.0.3,4.0.3,opal-4,,,,
242,opal-4.0.2,4.0.2,opal-4,,,,
243,opal-4.0.1,4.0.1,opal-4,,,,
244,opal-4.0.0,4.0.0,opal-4,,,,
245,opal-3,3,opal,,,,
246,opal-3.0.9,3.0.9,opal-3,,,,
247,opal-3.0.8,3.0.8,opal-3,,,,
248,opal-3.0.7,3.0.7,opal-3,,,,
249,opal-3.0.6,3.0.6,opal-3,,,,
250,opal-3.0.5,3.0.5,opal-3,,,,
251,opal-3.0.4,3.0.4,opal-3,,,,
252,opal-3.0.3,3.0.3,opal-3,,,,
253,opal-3.0.2,3.0.2,opal-3,,,,
254,opal-3.0.1,3.0.1,opal-3,,,,
255,opal-3.0.0,3.0.0,opal-3,,,,
