id,Description,DNS,Contact Persons,test,Data Refresh
EXT,External countries,,,,manual
DE,Germany,https://directory.bbmri.de,,,external_server
NO,Norway,,,,manual
BE,Belgium,https://directory.bbmri.be,,,external_server
FI,Finland,,,,manual
BG,Bulgaria,https://bbmri-bg.molgeniscloud.org,,,external_server
CH,Switzerland,,,,manual
MT,Malta,,,,manual
LT,LIthuania,,,,manual
LV,Latvia,,,,manual
GR,Greece,,,,manual
IT,Italy,,,,rest_api
FR,France,,,,manual
HU,Hungary,,,,manual
EU,European Union,,,,manual
SE,Sweden,,,,manual
AT,Austria,,,,file_ingest
CY,Cyprus,,,,manual
UK,United Kingdom,,,,manual
CZ,Czech Republic,,,,manual
PL,Poland,,,,rest_api
NL,Netherlands,https://catalogue.bbmri.nl,,,external_server
EE,Estonia,,,EE,manual
