name,definition,codesystem,code,ontologyTermURI
histological sample preparation,histological sample preparation,OBI,0000341,http://purl.obolibrary.org/obo/OBI_0000341
material sampling process,material sampling process,OBI,0000744,http://purl.obolibrary.org/obo/OBI_0000744
specimen set collection process,specimen set collection process,OBI,0002078,http://purl.obolibrary.org/obo/OBI_0002078
collecting specimen from organism,collecting specimen from organism,OBI,0600005,http://purl.obolibrary.org/obo/OBI_0600005
environmental material collection process,environmental material collection process,OBI,0600012,http://purl.obolibrary.org/obo/OBI_0600012
lavage,lavage,OBI,0600044,http://purl.obolibrary.org/obo/OBI_0600044
biopsy,biopsy,OBI,0002650,http://purl.obolibrary.org/obo/OBI_0002650
image guided biopsy,image guided biopsy,OBI,0002651,http://purl.obolibrary.org/obo/OBI_0002651
needle biopsy,needle biopsy,OBI,0002654,http://purl.obolibrary.org/obo/OBI_0002654
fine needle aspiration biopsy,fine needle aspiration biopsy,OBI,0002655,http://purl.obolibrary.org/obo/OBI_0002655
core needle biopsy,core needle biopsy,OBI,0002656,http://purl.obolibrary.org/obo/OBI_0002656
surgical biopsy,surgical biopsy,OBI,0002657,http://purl.obolibrary.org/obo/OBI_0002657
abdominal wall fat pad biopsy,abdominal wall fat pad biopsy,OBI,0002660,http://purl.obolibrary.org/obo/OBI_0002660
tail biopsy,tail biopsy,OBI,0002661,http://purl.obolibrary.org/obo/OBI_0002661
bone marrow biopsy,bone marrow biopsy,OBI,0002662,http://purl.obolibrary.org/obo/OBI_0002662
skinpunch biopsy,skinpunch biopsy,OBI,0002663,http://purl.obolibrary.org/obo/OBI_0002663
vacuum-assisted biopsy,vacuum-assisted biopsy,OBI,0002745,http://purl.obolibrary.org/obo/OBI_0002745
egg specimen collection process,egg specimen collection process,OBI,0003051,http://purl.obolibrary.org/obo/OBI_0003051
larval specimen collection process,larval specimen collection process,OBI,0003052,http://purl.obolibrary.org/obo/OBI_0003052
pupal specimen collection process,pupal specimen collection process,OBI,0003053,http://purl.obolibrary.org/obo/OBI_0003053
collecting specimen with swab,collecting specimen with swab,OBI,0002600,http://purl.obolibrary.org/obo/OBI_0002600
aspiration specimen collection,aspiration specimen collection,OBI,0002785,http://purl.obolibrary.org/obo/OBI_0002785
computed tomography assisted biopsy,computed tomography assisted biopsy,OBI,0002652,http://purl.obolibrary.org/obo/OBI_0002652
ultrasound-guided needle biopsy,ultrasound-guided needle biopsy,OBI,0002653,http://purl.obolibrary.org/obo/OBI_0002653
