tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Files,,,,,,,,,,,"http://purl.obolibrary.org/obo/STATO_0000002,http://purl.obolibrary.org/obo/NCIT_C42883","An electronic file is an information content entity which conforms to a specification or format and which is meant to hold data and information in digital form, accessible to software agents.","RD3, DCAT files add-on"
Files,,name,string,1,TRUE,,,,,,http://purl.obolibrary.org/obo/NCIT_C171191,The name of a file that identifies an electronic file,"RD3, DCAT files add-on"
Files,,alternate ids,string_array,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C90353,A backup sequence of characters used to identify an entity,RD3
Files,,path,string_array,,TRUE,,,,,,http://purl.allotrope.org/ontologies/result#AFR_0001927,"A file path is an identifier for a file in a file system or network (e.g., a scp compatible <host>:<path>)","RD3, DCAT files add-on"
Files,,md5 checksum,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C171276,A 32-character hexadecimal number that is computed on a file.,"RD3, DCAT files add-on"
Files,,format,ontology,,TRUE,,FileFormats,,,,"http://purl.org/dc/terms/FileFormat,http://purl.obolibrary.org/obo/NCIT_C171252","A digital resource format (e.g. BAM, FastQ, gVCF, phenopacket, BED)","Beacon v2 EMX2 add-on, RD3, DCAT files add-on"
Files,,individuals,ref_array,,,,Individuals,,,,http://purl.obolibrary.org/obo/IAO_0000136,A reference to the individual whom this file is about,"Beacon v2 EMX2 add-on, RD3"
Files,,biosamples,ref_array,,,,Biosamples,,,,http://purl.obolibrary.org/obo/NCIT_C43376,A reference to one or more samples that are associated with this file,"Beacon v2 EMX2 add-on, RD3"
Files,,generated by protocol,ref,,,,Protocol activity,,,,http://purl.obolibrary.org/obo/OBI_0000272,A reference to the protocol activity used to produce this file,RD3
Files,,included of datasets,ref_array,,,,Datasets,,,,http://purl.obolibrary.org/obo/HSO_0000370,"A reference to one or more datasets that organises records for in a meaningful way (e.g., data releases, subpopulations, cohorts, etc.)",RD3
Files,,comments,text,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25393,"A written explanation, observation or criticism added to textual material.",RD3
