tableName,tableType,tableExtends,columnName,columnType,key,required,refSchema,refTable,validation,semantics,description
subjects,,,,,,,,,,http://purl.obolibrary.org/obo/ExO_0000127,Information about patients and family members withing RD3
subjects,,,subjectID,string,1,TRUE,,,,http://purl.obolibrary.org/obo/NCIT_C142495,"An individual who is the subject of personal data, persons to whom data refers, and from whom data are collected, processed, and stored."
subjects,,,sex1,ontology,,,,sex,,,"Claimed Sex / Sex at birth (can be different from observed sex, see sample)"
subjects,,,familyID,string,,,,,,http://purl.obolibrary.org/obo/NCIT_C25173,"A domestic group, or a number of domestic groups linked through descent (demonstrated or stipulated) from a common ancestor, marriage, or adoption."
subjects,,,materalID,ref,,,,subjects,,http://purl.obolibrary.org/obo/NCIT_C89336,Identifier indicating a reference to mother of the subject
subjects,,,paternalID,ref,,,,subjects,,http://purl.obolibrary.org/obo/NCIT_C94324,Identifier indicating a reference to father of the subject
subjects,,,clinical_status,bool,,,,,,http://purl.obolibrary.org/obo/NCIT_C64917,whether it is an affected individual (main disease) Yes/No
subjects,,,disease,ontology_array,,,,disease,,http://purl.obolibrary.org/obo/NCIT_C15607,"if affected, which MAIN disease code(s) apply to subject"
subjects,,,phenotype,ontology_array,,,,phenotype,,http://purl.obolibrary.org/obo/NCIT_C16977,Phenotype based on Human Phenotype Ontology (HPO)
subjects,,,hasNotPhenotype,ontology_array,,,,phenotype,,http://purl.bioontology.org/ontology/HL7/C0442737,Relevant Phenotype NOT present in subject
subjects,,,mostRecentPhenopacketFile,string,,,,,,,name of the most recent phenopackets file (formated as <subjectID>.<date>.json)
subjects,,,partOfRelease,ref_array,,,,datareleases,,http://purl.obolibrary.org/obo/NCIT_C172217,One or more Solve-RD releases that indicate when the record was first introduced into RD3 or when it was updated.
subjects,,,includedInStudies,ref_array,,,,studies,,http://purl.obolibrary.org/obo/RO_0000056,Reference to the study or studies in which this person participates.
subjects,,,includedInCohorts,ref_array,,,,cohorts,,http://purl.obolibrary.org/obo/NCIT_C61512,"A group of individuals, identified by a common characteristic."
subjects,,,includedInDatasets,ref_array,,,,datasets,,http://purl.obolibrary.org/obo/RO_0000056,Reference to the dataset or datasets in which this person was assigned to.
subjects,,,organisation,ontology_array,,,,organisations,,http://purl.obolibrary.org/obo/NCIT_C25412,Name of the organisation that submitted Subject
